bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-18 09:58:28.418622,2021-09-17 00:00:00.000000,219130,1.0,1.0,1.0,타이거일렉,83032913500.0,6314290,500,6314290,1229581,19.47,17700,10500,47.47,277,N/A,N/A,1.69,7761,N/A,13.93,13150,13150,13150,13150,12950,9740,126,+2547,,26594.0,키움증권,2614,CS증권,2493,미래에셋대우,1510,한국증권,801,NH투자증권,714,미래에셋대우,6884,한국증권,1372,NH투자증권,666,키움증권,626,유안타증권,152,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:28.702694,2021-09-17 00:00:00.000000,065130,1.0,1.0,1.0,탑엔지니어링,129407681700.0,15976257,500,15976257,597041,3.74,11750,7410,29.67,273,N/A,N/A,0.62,13077,N/A,51.55,8100,8100,8080,8100,8000,15445,124,-2077,-158,2235.0,삼성,3065,미래에셋대우,2666,한국증권,2181,신한금융투자,1529,키움증권,1420,키움증권,2941,한국증권,2616,메릴린치,1683,NH투자증권,1376,신한금융투자,1249,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:29.181064,2021-09-17 00:00:00.000000,023160,1.0,1.0,1.0,태광,315350000000.0,26500000,500,26500000,3017831,11.39,13500,5860,N/A,-69,N/A,N/A,0.72,16454,0.42,62.09,11900,11900,11950,12100,11650,220979,2603,+21663,-2782,-18881.0,키움증권,31801,미래에셋대우,29766,한국증권,23291,NH투자증권,21280,신한금융투자,15650,키움증권,48413,미래에셋대우,26299,NH투자증권,22084,한국증권,19482,대신,18920,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:29.411585,2021-09-17 00:00:00.000000,053620,1.0,1.0,1.0,태양,83592000000.0,8600000,500,8600000,59148,0.69,12850,7730,28.42,342,N/A,N/A,0.47,20773,1.54,-145.39,9720,9720,9710,9770,9600,9750,95,-1126,,-18881.0,키움증권,3159,한국증권,2556,이베스트,1046,삼성,1031,메리츠,542,키움증권,2983,KB증권,2621,NH투자증권,1577,신한금융투자,835,UBS,449,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:29.687774,2021-09-17 00:00:00.000000,044490,1.0,1.0,1.0,태웅,250092262500.0,20007381,500,20007381,340279,1.70,17150,11400,N/A,-4950,N/A,N/A,0.54,23216,N/A,62.09,12500,12500,0,0,0,0,0,,,-18881.0,키움증권,3159,한국증권,2556,이베스트,1046,삼성,1031,메리츠,542,키움증권,2983,KB증권,2621,NH투자증권,1577,신한금융투자,835,UBS,449,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:29.986825,2021-09-17 00:00:00.000000,124560,1.0,1.0,1.0,태웅로직스,148479619200.0,19536792,100,19536792,218729,1.12,11450,3645,7.23,1051,N/A,N/A,1.80,4216,0.66,25.58,7600,7600,7660,7660,7500,127554,964,-9190,,-18881.0,키움증권,32939,한국증권,15365,삼성,13791,미래에셋대우,13232,NH투자증권,12714,키움증권,24136,미래에셋대우,22599,신한금융투자,15221,한국증권,14538,NH투자증권,11070,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:30.230572,2021-09-17 00:00:00.000000,191420,1.0,1.0,1.0,테고사이언스,226641910300.0,8108834,500,8108834,75390,0.93,34950,21800,2540.91,11,N/A,N/A,4.67,5984,N/A,-106.77,27950,27950,27450,28050,27300,15055,418,+444,+1552,-1996.0,미래에셋대우,4490,NH투자증권,1872,한국증권,1693,삼성,1578,신한금융투자,1022,신한금융투자,2397,키움증권,1891,NH투자증권,1853,한국증권,1812,미래에셋대우,1748,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:30.480627,2021-09-17 00:00:00.000000,073640,1.0,1.0,1.0,테라사이언스,129037531200.0,72902560,100,72902560,583830,0.80,2795,1620,N/A,-140,N/A,N/A,2.65,668,N/A,62.09,1770,1770,1770,1780,1745,114945,202,-4537,,-1996.0,IBK증권,29500,키움증권,17256,신한금융투자,17070,한국증권,15686,KB증권,9736,삼성,31814,미래에셋대우,28040,HI증권,15000,NH투자증권,9344,한국증권,9253,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:30.728497,2021-09-17 00:00:00.000000,182690,1.0,1.0,1.0,테라셈,30474933120.0,21163148,500,21163148,142657,0.67,3340,1040,N/A,-233,N/A,N/A,1.50,958,N/A,13.93,1440,1440,0,0,0,0,0,,,-1996.0,IBK증권,29500,키움증권,17256,신한금융투자,17070,한국증권,15686,KB증권,9736,삼성,31814,미래에셋대우,28040,HI증권,15000,NH투자증권,9344,한국증권,9253,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:30.960582,2021-09-17 00:00:00.000000,066700,1.0,1.0,1.0,테라젠이텍스,237388119850.0,32474435,500,32474435,475852,1.47,14350,7090,N/A,-184,N/A,N/A,0.91,8032,N/A,106.07,7310,7310,7390,7390,7290,90329,661,-5843,-771,6614.0,KB증권,13303,미래에셋대우,11427,키움증권,11419,신한금융투자,8571,NH투자증권,8101,미래에셋대우,28150,NH투자증권,14310,제이피모간,7781,삼성,5356,노무라,5151,,,,,,0.0,0.0,0.0,0.0,0.0
